data,test,Baseline_1,Baseline_2,Baseline_3,medGAN_1,medGAN_2,medGAN_3,medBGAN_1,medBGAN_2,medBGAN_3,EMR-WGAN_1,EMR-WGAN_2,EMR-WGAN_3,WGAN_1,WGAN_2,WGAN_3,DPGAN_1,DPGAN_2,DPGAN_3
uw_combined,correlation,8.5,7,8.5,12,13,6,5,10,4,2,1,3,15,11,14,17,16,18
uw_combined,log_cluster,12,13,14,9,15,7,5,8,4,1,2,3,10,6,11,18,16,17
uw_combined,train_on_syn,15,17,16,9,10,11,14,8,5,1,2,3,6,7,4,13,12,18
uw_combined,feature,12,5,17,9.5,14.5,9.5,7.5,5,7.5,1,2.5,2.5,13,11,5,17,17,14.5
uw_combined,violation,16,15,18,8,17,10,6,5,9,1,3,2,14,12,13,7,4,11
uw_combined,attr,7,6,8,9,3,4,11,10,12,16,17,18,1,2,5,14,13,15
uw_combined,mem,4,4,4,15,4,11,10,9,12,17,18,16,14,13,8,4,4,4
uw_combined,reid,7,7,7,12,4,5,10,11,9,15,16.5,14,18,16.5,13,2,1,3
uw_combined,nnaa,8,2,7,9,10,17,11,18,1,16,14,15,3,12,13,5,5,5
uw_combined,abundance,14,13,15,4,10,12,9,11,8,3,1,2,6,5,7,18,16,17
uw_combined,pairwise,2,1,3,12,14,11,8,9,7,6,4,5,15,10,13,16,17,18
vumc,correlation,18,16,17,15,13,10,14,7,9,2,3,5,6,4,1,11,8,12
vumc,log_cluster,17,16,18,13,15,9,11,2,8,1,3,7,5,6,4,12,14,10
vumc,train_on_syn,13,14,18,7,4,16,15,17,9,3,2,5,11,10,1,12,6,8
vumc,feature,18,15.5,15.5,8,15.5,4,11.5,11.5,11.5,15.5,11.5,4,1,8,4,4,8,4
vumc,violation,16,18,17,11,12,4,9,8,13,5,7,6,3,1,2,15,14,10
vumc,attr,8,9,10,4,2,6,5,3,7,16,15,17.5,13,17.5,14,1,12,11
vumc,mem,2.5,2.5,2.5,13,6,8,9,15,7,16,18,17,12,10,14,5,11,2.5
vumc,reid,2,3,1,4,5,7,10,8,13,17,16,18,11,14,15,9,12,6
vumc,nnaa,8,7,6,5,4,10,3,1,13,16,18,17,14,11,15,2,12,9
vumc,abundance,16,18,17,9,14,11,15,12,7,3,1,2,8,4,5,13,6,10
vumc,pairwise,3,2,1,17,18,14,11,10,12,4,7,9,8,6,5,16,13,15
uw_separate,correlation,5,6,7,13,12,14,9,8,4,3,2,1,11,15,10,18,16,17
uw_separate,log_cluster,11,12,13,14,10,15,4,6,5,2,3,1,8,7,9,16.5,18,16.5
uw_separate,train_on_syn,5.5,7,5.5,15,9,18,12,10.5,8,1,2,3,10.5,13,4,14,17,16
uw_separate,feature,8,8,8,16,8,13,4,13,8,3,1.5,1.5,5,13,11,16,18,16
uw_separate,violation,15,14,13,4,8,12,6,5,7,2,1,3,11,9,10,16,17,18
uw_separate,attr,8,9,10.5,5,13,7,10.5,14,12,16,17,18,15,6,4,1,2,3
uw_separate,mem,3,3,3,3,11,3,6,8,12,16,17,18,15,13,14,10,7,9
uw_separate,reid,5.5,5.5,7,15,14,4,13,8,11,17,16,18,12,9,10,3,1,2
uw_separate,nnaa,4,5,6,7,8,12,18,13.5,17,15,13.5,16,9,11,10,1,3,2
uw_separate,abundance,17,16,15,11,8,9,12,7,6,2,1,3,14,18,13,10,5,4
uw_separate,pairwise,2.5,2.5,1,14,11,15,8,7,9,5,6,4,12,13,10,16,18,17
