data,test,Baseline_1,Baseline_2,Baseline_3,medGAN_1,medGAN_2,medGAN_3,medBGAN_1,medBGAN_2,medBGAN_3,EMR-WGAN_1,EMR-WGAN_2,EMR-WGAN_3,WGAN_1,WGAN_2,WGAN_3,DPGAN_1,DPGAN_2,DPGAN_3
uw_combined,correlation,18.5,17,18.5,25,27,16,12,20,7,4,3,5,30,23,29,32,31,33
uw_combined,log_cluster,27,28,29,18,30,13,11,17,10,1,3,4,23,12,25,36,34,35
uw_combined,train_on_syn,33,35,34,22,23,25,32,21,13,4,5,6,17,18,12,30,28,36
uw_combined,feature,29,12.5,35,22,32,22,18,12.5,18,4,6,6,30,26.5,12.5,35,35,32
uw_combined,violation,31,30,34,13,32,17,11,8,14,1,4,2,26,23,25,12,5,18
uw_combined,attr,13,12,14,21,7,8,23,22,24,31.5,35,36,2,3,10,28,26,29
uw_combined,mem,6.5,6.5,6.5,26,6.5,20,17,16,22,35,36,33,24,23,13,6.5,6.5,6.5
uw_combined,reid,12,12,12,27,7,8,20,25,19,30,33.5,29,35.5,33.5,28,2,1,3
uw_combined,pairwise,5,1,6,25,29,24,17,18,15,12,8,9.5,30,19,28,34,35,36
uw_separate,correlation,9,10,11,24,22,26,14,13,8,6,2,1,21,28,15,36,34,35
uw_separate,log_cluster,20,21,22,24,19,26,7,9,8,5,6,2,15,14,16,31.5,33,31.5
uw_separate,train_on_syn,8,10,8,26,14,31,19,15,11,1,2,3,15,20,7,24,29,27
uw_separate,feature,12.5,12.5,12.5,26.5,12.5,22,6,22,12.5,3,1.5,1.5,8,22,18,26.5,32,26.5
uw_separate,violation,29,28,27,9,19,24,15,10,16,6,3,7,22,20,21,33,35,36
uw_separate,attr,16,17,18.5,9,25,15,18.5,27,20,31.5,33,34,30,11,6,1,4,5
uw_separate,mem,6.5,6.5,6.5,6.5,25,6.5,14,18,27,31,32,34,30,28,29,21,15,19
uw_separate,reid,12,12,15,26,24,9,23,16,21,32,31,35.5,22,17,18,6,4,5
uw_separate,pairwise,3.5,3.5,2,26,21,27,14,13,16,9.5,11,7,22,23,20,31,33,32
